ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
PIM1,2.905629603553213,5.419296910667758,9.819988227284632,2.1292430850985522e-11,1.2988822268415287e-7,15.721571250140933
SDC4,2.771704711149199,7.5260128211364385,9.56225194067473,3.069555067568306e-11,1.2988822268415287e-7,15.441870417826202
NR4A1,3.8211516165023918,10.494692128133634,9.14599510866568,9.352821934262859e-11,2.425204483722398e-7,14.398626271584927
KLF10,2.851348937982988,8.505779493486,9.027335920715522,1.2902094343794405e-10,2.425204483722398e-7,14.09659074592884
FNIP2,2.7573651065906537,6.28925866270894,8.988808621470477,1.4328278882916213e-10,2.425204483722398e-7,13.998083883666034
TNFRSF12A,3.7226852518870155,6.628646944861209,8.3023060649705691,9.576407061705414e-10,1.1896249850384618e-6,12.207435096276114
ZFP36,4.052938979935511,6.5511509295334704,8.246681878861255,1.1198456180874916e-9,1.1896249850384618e-6,12.059481369479894
EGR1,6.080043003848874,8.787865186800207,8.245195949491261,1.124542110399113e-9,1.1896249850384618e-6,12.055523247996657
THBS1,4.093589233016253,6.061541575193439,8.19634849410352,1.6121380935906287e-9,1.5159471873397211e-6,11.721937027668243
MIDN,3.2196105902107046,6.278991400239002,7.9980854865653574,2.26372950769582e-9,1.9157942823629724e-6,11.393202220251442
ATF3,4.7499865642888865,6.5523530512084,7.921163788575394,2.8186530633863008e-9,2.0462032937935326e-6,11.185403134149414
CSRNP1,3.0345904500189773,5.629600768391703,8.064692299136158,2.9013871588706596e-9,2.0462032937935326e-6,11.096148673158499
NABP1,2.768371459105624,5.297940143836542,7.879731717305815,3.172855537963201e-9,2.065528955214044e-6,11.073163373194234
MAST4,2.3804067146273704,6.788692125091512,7.845440931309299,3.4999532331380873e-9,2.115721729431974e-6,10.9801049364507
CCL2,3.4610837746249716,5.150121829554984,8.227584798865413,3.904321345499805e-9,2.2028181031309903e-6,10.886537439829993
CPEB4,1.5805937563466435,7.817701183628737,7.615900309268255,6.772835288387594e-9,3.582406565351513e-6,10.353422351025063
FOSL2,2.362990171729563,6.426879943684134,7.329065297848379,1.5576959364777724e-8,7.754576888477286e-6,9.561534434007616
ICAM1,2.5653506437030074,5.091697927684048,7.370682169944652,1.9828717302233738e-8,9.322801918266896e-6,9.333713025460106
JMJD1C,1.7613595277940792,7.452674794592462,7.225115684189898,2.1108653328755982e-8,9.402238585329572e-6,9.27228279113476
GABARAPL1,2.063784199117137,6.951942225000365,7.198007561052637,2.285349319506155e-8,9.670455645490296e-6,9.196661967540962
KLF6,2.306539086693718,6.819879117774485,7.175786160289126,2.43921165268559e-8,9.830022960322927e-6,9.134615823126978
GPAT3,1.7804008927140194,5.811458331068822,7.127682886671591,2.809141257280484e-8,1.0806255663802154e-5,9.000128190120414
PPRC1,2.2897999591327416,6.950708723515257,7.086162748290115,3.173803767918206e-8,1.1678217951257293e-5,8.883856546937032
SAT1,2.1908437854684344,6.872628168604466,7.0502403247853644,3.527729755801993e-8,1.2439657051396778e-5,8.783121609729676
IRS2,2.29505431423114,5.360853712827642,6.961845200177097,5.358072836680721e-8,1.8138148166731574e-5,8.384143264644239
ABHD2,1.7727042277633451,6.912249494214952,6.82618864755637,6.838743551270824e-8,2.226011025938653e-5,8.15205137376216
BTG2,3.6718807416532915,7.9851991431166,6.750556974426075,8.559059039578042e-8,2.6827895056277395e-5,7.938005678321976
PPARD,1.5665648255009001,6.1654370577296955,6.713883441445729,9.544398180276177e-8,2.8044618702795544e-5,7.834042195938593
PDK4,3.5033166392464405,9.640468342825805,6.71157932732316,9.609995774324361e-8,2.8044618702795544e-5,7.827506717551574
BHLHE40,2.2655197223241546,8.532865091805048,6.66594281982109,1.1007180800643666e-7,3.1051257038615786e-5,7.6979733451069565
GADD45B,4.550879373205333,6.114843429516311,6.701792897789139,1.1429667887112278e-7,3.120299333181652e-5,7.665635721157075
